epic,ra,dec,kepmag,COMMENT
211432167,132.863806,12.127919,8.55, 8 d period validated soon
211915147,129.78875,18.951869,9.023, HJ (K2-34b)
211945201,136.573975,19.402252,10.115,"good; 0.1%; almost validated"
212099230,128.073571,22.006011,10.513,SINGLE TRANSIT
211886472,137.132531,18.528543,11.126,"K2-122 b; 0.3%"
212110888,127.57877,22.235908,11.441,"good; 0.2%; almost validated"
211733267,130.009413,16.372406,12.15,"almost validated; 0.1%"
212011230,136.241018,20.440816,12.375,EB?
212006344,126.476311,20.359569,12.466,FP?
211606790,137.144439,14.630882,12.673,"validated; 0.1%"
212164470,129.813631,23.357481,12.704,"good; 0.8%"
211408138,132.824965,11.765055,12.74,EB?
211919004,129.777047,19.010023,13.131,"validated; multi; 0.1%"
211490999,130.798847,13.009593,13.416,"validated; 0.13%"
211529065,131.266597,13.549833,13.431,EB?
211413752,133.709545,11.848265,13.539,"almost validated; multi; 0.4; 0.8%"
211816003,132.62112,17.542445,13.654,FP?
212069861,134.444189,21.453533,14.102,"K2-123 b; 0.2%"
212110007,133.310979,22.218977,14.245,EB?
211537406,135.605691,13.665386,14.565,FP? Giant star? 0.1%
211924657,130.026777,19.092879,15.031,TTV planet? See Courtney M dwarf paper (and Teru's M dwarf paper?)
212154564,133.641182,23.13289,15.105,"M dwarf planet; see Courtney's paper; have Spitzer data"
